State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9822008696632009	0.013132414019065348	1.3373600668413412E-4	8.606865591818931E-4	1.247074218553596E-4	1.136040912879683E-4	4.524715660859459E-6	1.9337620877834776E-5	0.0013078839145011774	0.0	6.676476248146317E-6	9.417588739681853E-4	9.099692507968215E-5	2.782935745033569E-4	7.845101378852877E-4
2	0.002054971624806982	0.9861894121583846	0.0	0.0026187252027102064	7.056183691189971E-7	2.5957637244518794E-4	4.802402027055139E-6	0.0	0.0017797523706508862	0.0	0.0	0.0	7.712529429432173E-4	0.002244711272576187	0.004076090035086508
3	0.0013438230326550465	0.0	0.8498525107514325	0.10838891111053449	0.03715239526346629	0.0	0.0	0.0	8.807657379139612E-4	0.0	7.869920875973099E-5	0.0	4.973430428304633E-4	0.0018055518524073893	0.0
4	6.263537659415142E-4	0.01252901766408426	0.00895837496856321	0.9643137289476758	3.4119274058558687E-4	0.001625597963370859	0.0	0.0	0.003277177141694798	0.0	0.0	0.0	0.0	0.006775303591953758	0.001553253216130436
5	0.005049794661847086	8.861417163457317E-5	0.1904730758107618	0.01740996511523106	0.737028322279774	0.03826116980614196	0.0	8.392487512334155E-5	0.0034808425890493107	3.97366704143964E-4	3.1368342527000556E-4	0.0	4.535137907094512E-4	0.004968140847325786	0.0019915859229876864
6	0.0027576784207442922	0.026500304561774612	0.0	0.036817728052394756	0.013690072725117023	0.6499879643661179	0.11208536558994103	0.002066886050998187	0.04242994956714085	0.0023074857894806846	0.0014371904968900615	2.0048031601161044E-4	0.009489453527974402	0.019032278041169248	0.08119716249424527
7	0.0	9.675461788499561E-5	0.0	0.0	0.0	0.07109199776240761	0.8449947052807454	0.015433428943232897	0.0	0.0625330003271799	0.001313100322422981	0.0	0.001036294535953716	2.983236838139322E-4	0.003202394526358505
8	1.1588467997748575E-4	2.7597165857209302E-8	0.0	0.0	1.7357096790018207E-5	0.0017665076747355635	0.015133207844651627	0.7492894942862618	0.20380569341897417	0.016993520704375813	1.913367827091737E-5	0.0	0.003819615917267355	0.0014110049945563706	0.007628552106973214
9	0.004771301570665644	0.04321011366710476	4.8054610354930915E-4	0.01627172607057803	2.3566241912902205E-4	0.008848429666196374	0.0	0.07416505686979197	0.6733872236580981	0.00414353536872381	0.0017436023138855336	0.0011913806018469281	0.028038971356658452	0.0041334341368145745	0.13937901619695747
10	0.0	0.0	0.0	0.0	1.8389515517154263E-5	0.0011193556056124968	0.054248000801029234	0.015460836876878421	0.009667120921171963	0.7658698970542512	0.13613026032880957	0.011314351532937162	0.0061071142082799275	6.467315551281855E-5	0.0
11	1.035316318092599E-6	0.0	1.9466940948899472E-5	2.163387351230516E-5	2.403771374977103E-5	1.878828682724932E-4	2.6305962569727194E-4	0.0	0.0010014707926567148	0.029078037927493805	0.9370383382043989	0.007319705942552724	0.02498521776539608	6.0113029002853394E-5	0.0
12	0.009721692335029114	0.0	9.509065592224164E-5	0.0	0.0	1.1501259922849495E-4	1.0120255634028955E-4	0.0	0.0031051446855084636	0.01254527616772482	0.03671201641328029	0.826556412862892	0.11013710098930816	9.11050734765991E-4	0.0
13	9.321227155395435E-5	0.005042975852387417	4.408333817897214E-5	0.0	3.868184423267543E-6	6.091783880418723E-4	7.527963296038584E-5	3.55496277472224E-4	0.007734770885217869	5.52166208690282E-4	0.012230693828393195	0.01107410045299406	0.9600103129048929	0.002173861774793428	0.0
14	0.003174898193537222	0.2173302314918437	0.0029277703671499993	0.13297552916237276	0.0020129207193168228	0.017017583310782812	4.4909118079816896E-4	0.001761040843068931	0.017001306125082896	1.0181901630912793E-4	3.293847499983316E-4	7.84309038271839E-4	0.034174448477116474	0.4693261993095145	0.1006334680148365
15	7.016078478205375E-4	0.02133645214565554	0.0	0.0016288881225711936	1.1307883345002095E-5	0.004269807344913822	2.513729452690343E-4	7.172207412757211E-4	0.030778149920514933	0.0	0.0	0.0	0.0	0.0057997183735018845	0.9345054746751319
